numeroDepartement,sousPrefecture,nomDemarche,urlDemarche,urlWebhookDiscord
76,Rouen,Demander un premier titre de séjour,https://www.seine-maritime.gouv.fr/booking/create/50382/0,
76,Rouen,Renouveler un titre de séjour,https://www.seine-maritime.gouv.fr/booking/create/50389/0,
76,Rouen,Renouveler une carte de résident,https://www.seine-maritime.gouv.fr/booking/create/50396,
76,Rouen,Retirer un titre de séjour,https://www.seine-maritime.gouv.fr/booking/create/50420/0,
76,Rouen,Retirer un récépissé,https://www.seine-maritime.gouv.fr/booking/create/50416/0,
76,Rouen,Retirer un document de voyage,https://www.seine-maritime.gouv.fr/booking/create/51406/0,
76,Rouen,Regulariser un séjour,https://www.seine-maritime.gouv.fr/booking/create/47116/0,
76,Le Havre,Demander son premier titre de séjour,https://www.seine-maritime.gouv.fr/booking/create/53944/0,
76,Le Havre,Retirer un titre,https://www.seine-maritime.gouv.fr/booking/create/52488,
76,Le Havre,Renouveler un titre de séjour,https://www.seine-maritime.gouv.fr/booking/create/6700/0,
76,Le Havre,"ATTENTION, BOUTON RADIO SUPPLEMENTAIRE - Renouveler un récépissé ou une attestation de demande d'asile ",https://www.seine-maritime.gouv.fr/booking/create/6700/0,
